problem_id,py_submission_count,c++_submission_count,py_user_count,c++_user_count
p00154,20,220,15,172
p00202,126,958,16,298
p00256,29,293,10,98
p00257,17,493,8,141
p00262,14,202,10,132
p00426,26,704,24,231
p00432,28,502,7,91
p00441,34,915,8,248
p00443,21,566,10,180
p00472,32,727,14,261
p00473,24,619,7,173
p00477,65,654,58,506
p00478,51,787,39,444
p00479,32,595,24,380
p00480,55,1418,31,523
p00481,201,2237,42,770
p00483,45,726,20,297
p00484,22,671,7,245
p00488,51,761,44,525
p00489,45,613,24,392
p00490,31,759,21,387
p00491,32,693,12,321
p00494,45,1137,14,303
p00499,49,754,45,491
p00500,36,589,31,401
p00501,23,736,13,333
p00502,14,850,11,348
p00505,152,472,70,306
p00506,89,438,69,316
p00507,109,463,37,168
p00508,106,479,22,127
p00509,26,123,6,44
p00510,48,292,32,214
p00511,59,333,46,241
p00512,54,252,32,156
p00513,48,251,12,107
p00514,72,151,19,42
p00515,189,652,185,448
p00516,44,682,31,369
p00517,24,573,19,325
p00518,12,416,9,224
p00523,63,759,17,216
p00524,12,487,8,133
p00531,51,572,43,418
p00533,28,647,22,319
p00534,28,783,17,285
p00535,8,566,6,180
p00537,8,519,6,188
p00543,25,306,23,235
p00544,15,358,14,214
p00553,68,398,53,338
p00554,37,283,32,225
p00564,225,435,220,333
p00565,46,302,41,227
p00594,43,296,16,119
p00719,27,763,12,304
p00726,12,492,9,180
p00731,10,526,8,270
p00735,52,895,32,495
p00737,13,475,10,310
p00744,44,866,18,405
p00746,50,932,42,616
p00747,142,1236,105,702
p00753,87,1239,63,746
p00754,112,1821,60,696
p00755,24,541,9,353
p00760,94,914,65,694
p00761,60,1018,48,541
p00762,8,527,8,266
p00767,74,1090,45,591
p00768,38,977,31,489
p00769,27,608,25,420
p00770,9,745,8,282
p00774,74,937,58,585
p00776,12,937,8,243
p00777,18,407,10,215
p00780,48,226,36,169
p00803,10,81,7,65
p00811,26,631,14,254
p00816,12,255,8,167
p00820,21,459,8,256
p00823,7,213,7,133
p00828,15,472,7,210
p00836,23,212,16,135
p00856,25,488,16,270
p00861,7,233,6,128
p00864,42,390,14,270
p00874,20,381,13,293
p00875,9,276,7,169
p00884,34,558,17,222
p00885,8,407,6,187
p00895,13,336,6,208
p00899,41,433,7,167
p00904,11,320,8,193
p00906,11,357,6,191
p00909,19,519,10,199
p00914,21,383,15,296
p01085,87,757,70,527
p01086,48,645,43,407
p01087,38,552,32,312
p01088,18,412,8,156
p01093,111,789,89,554
p01094,51,599,46,392
p01095,75,728,17,391
p01096,51,859,34,495
p01101,175,738,108,427
p01102,172,503,68,279
p01103,30,267,24,231
p01106,8,67,7,56
p01109,103,428,97,375
p01110,27,278,22,188
p01112,8,170,7,122
p01118,9,47,9,47
p01125,127,1583,77,694
p01126,83,1236,51,543
p01128,18,453,6,185
p01131,104,1028,64,570
p01132,131,1465,41,470
p01134,20,599,8,178
p01136,56,1244,22,360
p01137,214,1757,50,702
p01138,102,1237,77,590
p01139,38,664,22,405
p01140,106,1590,46,625
p01143,91,1120,56,573
p01144,137,1131,55,538
p01146,40,680,7,286
p01224,19,517,12,237
p01225,70,486,17,212
p01226,12,245,6,118
p01227,79,730,42,359
p01267,105,851,46,537
p01268,42,811,24,439
p01269,8,640,7,265
p01271,33,982,9,262
p01273,11,506,11,291
p01283,28,523,6,200
p01288,18,1654,8,338
p01303,8,198,8,156
p01304,51,467,40,241
p01314,111,1241,81,698
p01315,37,794,30,393
p01317,15,1137,7,309
p01321,23,260,20,192
p01322,13,220,11,164
p01333,24,226,18,185
p01337,9,161,8,37
p01359,26,586,19,311
p01360,9,367,6,187
p01369,67,731,52,575
p01371,24,835,10,427
p01447,49,628,32,382
p01449,29,631,7,237
p01486,18,549,12,285
p01502,11,341,6,202
p01513,36,758,32,450
p01514,23,755,19,419
p01538,52,555,36,405
p01694,63,731,55,534
p01695,16,689,7,281
p01696,24,332,14,204
p01701,28,496,15,227
p01754,10,369,9,152
p01772,12,203,6,110
p01802,35,473,31,364
p01803,35,482,25,286
p01840,27,401,23,261
p01845,46,459,39,337
p01846,23,229,19,195
p01852,23,112,8,82
p01923,23,229,22,190
p01924,26,219,17,187
p01925,12,189,12,141
p01982,26,177,25,170
p01983,14,136,8,118
p02246,238,1108,29,275
p02249,67,328,14,97
p02250,98,725,22,136
p02262,1332,3167,432,1196
p02271,1551,2918,621,1775
p02330,19,180,11,121
p02343,439,1930,289,1219
p02344,88,372,46,260
p02356,33,435,20,307
p02358,9,272,9,138
p02361,513,3001,228,1097
p02457,46,173,22,139
p02461,23,150,20,122
p02558,403,1951,169,887
p02559,336,1256,134,683
p02560,139,628,72,489
p02561,255,899,50,332
p02562,95,382,35,225
p02563,200,696,46,356
p02564,253,603,54,316
p02565,77,354,35,249
p02566,68,352,29,223
p02568,205,478,32,207
p02580,5027,10527,1311,3761
p02585,4789,12667,1140,3040
p02586,1969,5397,432,2185
p02589,461,3400,95,1018
p02605,824,2115,232,789
p02624,4339,8816,2079,5601
p02635,106,1192,43,639
p02644,1794,6697,232,1606
p02648,1290,5529,200,1132
p02650,16,229,9,82
p02680,796,2024,87,493
p02728,866,3086,164,1271
p02738,46,610,12,409
p02794,403,2928,139,1011
p02871,179,894,28,121
p02872,136,535,14,80
p02875,65,702,20,455
p02894,48,662,19,311
p02908,11,708,7,249
p03010,55,589,17,180
p03016,408,1703,166,478
p03020,57,655,7,299
p03021,88,1644,23,592
p03056,46,1635,20,505
p03064,335,1524,80,639
p03118,11,37,8,22
p03189,16,924,9,582
p03240,6806,13602,1484,3055
p03283,2802,5641,935,2450
p03298,330,1866,144,1270
p03410,654,1738,164,556
p03412,354,2612,71,986
p03475,2568,5237,1240,2743
p03554,21,987,9,389
p03570,173,2575,59,923
p03585,115,1111,11,293
p03599,3756,7846,927,2054
p03601,409,3695,121,1180
p03707,190,1619,54,980
p03744,44,670,10,277
p03802,24,1422,6,446
p03858,27,1464,7,451
p03924,13,129,6,90
p03968,46,1066,8,385
p03974,68,1028,17,309
p04000,1087,1919,362,1030
p04002,157,1730,77,981
p04003,461,7129,63,1136
p04017,292,3658,77,1130
p04022,67,4079,21,882
p04041,47,1293,27,747
p04052,14,1047,8,432
